parent_station,stop_lon,stop_id,stop_name,stop_lat,location_type
,38.7345522,node/7041071389,Lideta Condominium,9.0132791,0
,38.7348248,node/7041071390,Darmar,9.0157856,0
,38.7294714,node/7041071391,Coca Cola,9.0159169,0
,38.7278809,node/7041071392,Austria Embassy,8.9939406,0
,38.727499,node/7041071393,Mechare Meda,8.9936591,0
,38.7152417,node/7041071395,3 Kutir Mazoriya (Total),8.9925902,0
,38.7184074,node/7041071397,Minaye Building,8.995414,0
,38.7191221,node/7041071399,Old Airport (Mobil),8.9998642,0
,38.7206897,node/7041071400,Tor Hailoch,9.0099949,0
,38.7100309,node/7041071401,Keranio Mewcha,9.0133411,0
,38.7159484,node/7041071402,Holand,9.0213057,0
,38.714954,node/7041071403,Meseret Edget,9.0245409,0
,38.7440603,node/7041071404,Teklehaymanot,9.0278226,0
,38.7458014,node/7041071405,Kebele 11,9.0247481,0
,38.75166,node/7041071406,Tewodros Square,9.0262634,0
,38.7517909,node/7041071407,Tewodros Square,9.0263826,0
,38.7521859,node/7041071411,Black Lion,9.0218352,0
,38.751592,node/7041071414,National Theatre,9.0158768,0
,38.7513097,node/7041071415,National Theatre,9.0156938,0
,38.7494881,node/7041071416,A.A. Commercial College,9.0139102,0
,38.7495568,node/7041071418,A.A. Commercial College,9.0138228,0
,38.7490599,node/7041071419,Buna Ena Shay,9.0114261,0
,38.7479733,node/7041071420,Buna Ena Shay,9.0105922,0
,38.7468862,node/7041071423,Mexico Shebelle Hotel,9.0119916,0
,38.7429038,node/7041071425,TVET College (Tegbare'd),9.0105894,0
,38.7426638,node/7041071429,Federal Police (Tegbare'd),9.0103865,0
,38.738603,node/7041071430,Lideta (Balcha Hospital),9.0109303,0
,38.7385604,node/7041071431,Lideta (Balcha Hospital),9.0111161,0
,38.7377815,node/7041071432,Lideta Condominium,9.011233,0
,38.733822,node/7041071433,Lideta Tsebel,9.0041706,0
,38.7338119,node/7041071434,Dessie Hotel,9.0093091,0
,38.7342297,node/7041071435,High Court,9.0108572,0
,38.733431,node/7041071437,Lideta High Court,9.0115829,0
,38.7293132,node/7041071439,Hintsa College,9.0121559,0
,38.7292339,node/7041071441,Coca Cafe,9.0119411,0
,38.7265458,node/7041071444,Mekonenoch (Golf) Club,9.011282,0
,38.7220202,node/7041071446,Tor Hailoch Junction,9.0115616,0
,38.7216866,node/7041071447,Torhailoch,9.0119442,0
,38.7206478,node/7041071448,Tor Hailoch,9.0139112,0
,38.7209168,node/7041071449,Tor Hailoch,9.013939,0
,38.7089411,node/7041071450,Keranio Bridge,9.0194506,0
,38.7049748,node/7041071451,Medhanialem,9.0175679,0
,38.7006446,node/7041071452,Keranio Adebabay,9.0176634,0
,38.6994971,node/7041071453,Kokebe,9.0180779,0
